well_id,average_rmse,median_rmse,minimum_rmse,maximum_rmse,average_mae,n_rows,fold
b04b58a3,76.3201758024195,63.948896642861754,41.273957468964724,136.10895245498975,61.69244719354349,5229,5
593876b6,76.24854602842375,64.40457334667815,29.901059387091507,146.2839780332472,66.24852297016707,6366,4
173ed841,76.22287310949054,42.99254125236632,30.59386627659349,188.31254365663602,71.02565316333396,6530,3
e85074c5,75.78396898264558,65.55194775138708,15.936293254734535,156.09568717307363,67.58469628427544,7236,3
729665c0,75.78177888147512,50.28600970173564,30.708622654503564,171.84647346792562,70.81598398444665,5775,5
7cbbd047,75.3255449251982,58.78217874163941,48.87093655146371,134.86688566605028,66.35208364760547,6790,4
a5aa7973,75.1927533047309,46.25271453871662,35.60211323976174,172.66347090172863,67.26749728699896,6449,2
09053135,75.14630673309625,36.800768956986374,21.80778545633755,205.1759035620747,71.44008467325438,7715,4
f631da6e,75.12591681408409,81.29737803463526,15.471387454025804,122.43752373304007,64.19196598524422,5604,3
060ab2b8,75.07806885916781,73.56506923489445,25.065107567915337,128.11702939896702,62.06601831053854,7818,2
ecdaf714,75.04128467542802,58.52072327537847,25.21400369689398,157.90968845406118,55.56694010421511,8240,5
d463e527,74.8371012744693,48.53495780483859,25.576816280357956,176.70167320784208,60.99556432965104,6991,1
125be846,74.61961600261918,40.10851653555159,20.867348345431775,197.39408259394176,70.58334112415183,8033,1
2d2d0c6b,74.58052782136359,77.67102011049731,15.669804542752741,127.310266521707,68.25310645631293,6967,5
3ef6372a,74.41906394955544,39.57062009861166,6.059772006381855,212.47524359461656,66.88920514923407,6666,3
9314ff13,73.96509521938243,32.40328800148983,30.215643684466468,200.83816119008364,69.67938724184167,4494,5
204cc64b,73.92401461398514,60.53615290724018,11.010360729780631,163.61339191167957,70.78529429630734,6454,2
698930d1,73.54288638400888,49.95668710542991,22.714240689088562,171.54393063608717,64.83384098588247,6498,2
109d9d70,73.18170272476394,52.233518706856906,32.41536753105379,155.84440595428816,53.06862783041808,5851,4
d5df0ff5,73.01864991991366,73.78355824088868,45.01154013717253,99.49594306070476,60.68217355368826,5490,2
543198e8,73.00303743726556,76.65822155244307,23.640772497391318,115.05493414678479,60.57754088608808,8311,5
e46f4ef4,72.93137693625954,71.13783710258804,50.933882369631064,98.515951170231,62.50712239082651,8930,4
a79fd2e7,72.22061059099303,38.30830739920948,24.66466608933121,187.60116147622196,64.58886836357962,6327,5
69c1bdad,71.99538496583368,32.77358806032768,16.240156936177502,206.19420680650185,66.52619544787018,4645,2
25939962,71.95991130484938,70.66432611032285,49.499447298959865,97.011545699792,58.55368464971906,6071,5
656a067b,71.91849285459091,50.454780045013536,21.06937163563221,165.69503969270434,61.255741220630235,4896,2
2b06ad65,71.8486287083203,15.772464241132052,4.651721157974181,251.19786519304293,68.51417222104364,5706,1
a6ed2eff,71.31312467448868,40.732125772739025,14.709076113733312,189.07917103874334,67.72389954692721,7054,2
