well_id,Bias_Formation_Marker_Baseline,Bias_Last_Known_TVT,Bias_Linear_Extrapolation_10,Bias_Linear_Extrapolation_100,Bias_Linear_Extrapolation_50,Bias_Z_to_TVT_Linear_Model,MAE_Formation_Marker_Baseline,MAE_Last_Known_TVT,MAE_Linear_Extrapolation_10,MAE_Linear_Extrapolation_100,MAE_Linear_Extrapolation_50,MAE_Z_to_TVT_Linear_Model,RMSE_Formation_Marker_Baseline,RMSE_Last_Known_TVT,RMSE_Linear_Extrapolation_10,RMSE_Linear_Extrapolation_100,RMSE_Linear_Extrapolation_50,RMSE_Z_to_TVT_Linear_Model
177622d7_,215.30984721826155,7.232457197209152,-24.317542802916087,-13.525701068654206,-18.645360329809627,-61.851689635493535,215.71394204440844,7.238753963220623,24.317986683702216,13.594305798663772,18.668585679809986,61.851689635493535,257.25676647387684,9.800349606500166,27.82845755255491,15.61206578657586,21.372443337175415,67.05844237248992
18d24f7b_,564.9629732173325,4.744493198771564,5.987856835653325,4.856519031346718,5.148399801537339,-108.8581655748565,564.9629732173325,6.261254936375679,7.202429494991252,6.345287314214663,6.564934955875475,108.8581655748565,638.1262697499593,7.530076271970659,8.815061716246495,7.643654564959237,7.941846412310866,118.24450636773204
19137a89_,884.2948193775596,-15.131846178394037,71.29057806438527,70.38300626686531,72.29960544212996,124.35055097162981,884.2948193775596,15.131846178394037,71.2905795149851,70.38300909085282,72.29960627624052,124.35055097162981,983.107476851241,18.119920942456794,82.84229556249113,81.79700679560614,84.00451232085335,136.66149917987659
1944513c_,-1017.8727504809465,-4.010434138077376,-34.63837353186959,-35.44892138680704,-33.83167159305712,-118.20188042432747,1017.8727504809465,4.301090639559704,34.63890127435167,35.44904913452463,33.832664921926145,118.20188042432747,1074.0141264172028,5.738736995920461,38.77593473684633,39.70472956280934,37.851893959013516,127.26832829686275
197f8a5a_,2264.942192233353,-20.443242472265965,-15.66218186403864,-12.635439141963776,-12.645786049493664,-126.07704245598995,2264.942192233353,21.31314738510283,16.94010637084006,14.319002328705693,14.327749589933445,126.07704245598995,2473.483668202413,24.61555435098563,20.000258352901028,17.3539295942578,17.362464835090258,136.7282009505489
19871e7f_,658.8477252661039,1.299093141885221,23.918911324217746,19.03454906751093,20.637128195827675,-119.95747299521514,658.8477252661039,4.804829019459664,23.92004324802751,19.042278581365345,20.642120885395606,119.95747299521514,726.854162039272,5.353880109906093,29.442706928412512,23.882738087392692,25.703156918870224,131.67502843327003
198a5607_,-356.69590986309277,6.849771236602367,14.427953055608294,15.983356115076365,14.948100168101197,-128.6126701770808,356.69590986309277,7.484626459766532,14.465025330093026,16.001590201393444,14.978119283218955,128.6126701770808,364.0818016017084,9.944851115115334,17.6778543889724,19.37237969528008,18.24236610454206,143.05468051959994
19fb4f7b_,636.9907961511373,4.242617437721659,-99.6607158969779,-99.12627398137167,-99.9719371840912,-131.64880726195776,641.0235497866972,9.225731316725843,99.89396964438647,99.37147831173445,100.19839258732074,131.64880726195776,768.0673579998728,11.089880426882702,118.50622661071195,117.89176979902936,118.86405551476383,147.5727825080586
1a518997_,667.5559935419375,-10.494446374295334,31.387371807147886,37.75423751411087,30.31925974819605,67.76724872983206,667.5559935419375,10.494446374295334,32.020142106771225,38.17172729369206,30.99210324112813,67.76724872983206,784.8659064003791,10.76070073803029,39.050045040726545,46.35369689982352,37.82658973930032,78.65885733363844
1a68190b_,769.9532972176064,-13.618994188645333,27.87646035774555,17.364305391304306,31.134229100607186,91.43446667856105,769.9532972176064,13.714631202503197,27.87646035774555,18.44805883169261,31.134229100607186,91.43446667856105,864.5074827011741,16.431826147748733,37.527355315243085,26.186153399446418,41.13443246946116,100.70324250339607
1a730ac2_,634.0371290953269,-14.730525515743853,97.48838357454724,61.42338975579803,108.18940389595909,77.9389400066619,634.0371290953269,14.730525515743853,97.48838357454724,61.43436796767782,108.18940389595909,77.9389400066619,720.0897522660822,16.350400725581075,117.34385030583003,75.95148875866273,129.65634043483027,87.25768858801837
1aaf1da0_,1053.9014225230378,-7.390799333886973,-4.333072060302247,4.920841830192184,-2.0055076171903283,-122.27364606142588,1053.920184749873,7.7373646960855575,5.109274164774534,5.341325359405062,3.3067390100016016,122.27364606142588,1230.0111450134204,9.288199403984146,6.182077232128217,6.684584662592261,4.283828825690786,138.41270812634724
1b08ed48_,1108.773858145101,10.200831256674466,22.63074034877406,9.896026216137475,17.20670568648585,-93.76317768933811,1108.773858145101,10.44722855108537,22.729488075225856,10.146706392891902,17.364349632009564,93.76317768933811,1243.0805874429013,11.838490879530399,25.858994989597548,11.504960971213443,19.68216210404697,104.20896016894501
1b1c5372_,1276.8494614669635,10.659866228584988,40.4938662285578,38.62129713166982,39.200428533534364,102.37335597216709,1276.8494614669635,13.441194555268806,41.058605961016404,39.288895979290125,39.83582992480511,102.37335597216709,1447.3730850243699,17.833374900392585,50.74457147586903,48.616297700800104,49.27419628748308,115.17569141052296
1b1eba53_,-281.5723436596913,-65.93120515574701,16.748067571280238,-25.64346438169584,-10.044672622805889,1.5107711971440572,281.5723436596913,65.93120515574701,22.84956242537987,25.831292689766258,14.258359899514605,14.308366037065245,283.6029476540569,70.63937461968057,31.124787561417598,27.451697546076872,16.60062696570033,16.84818672193451
1b6ba517_,96.90570927092298,6.850075792026098,-44.534348451716056,-42.85109630517762,-44.235711482806735,-131.70834268013166,147.63686991242525,7.082978626647934,44.53435756513308,42.85111609662471,44.23572221517608,131.70834268013166,182.27179571724486,7.818279827064867,52.657083557598654,50.718859416123934,52.31318131790315,145.7032616556198
