well_id,rmse,mae,n_rows,model
e5864244,34.96869563347866,32.38026106770833,3000,last_known_tvt
e7c36e81,8.54049179271036,7.904341471354167,3000,last_known_tvt
e7d0c1de,5.677818547742394,4.350718424479167,3000,last_known_tvt
ea0b99b7,10.711881506687316,8.893569661458333,3000,last_known_tvt
ea3a0e38,14.305382167825044,11.881573893229167,3000,last_known_tvt
ea41324e,5.411413402979095,4.391254231770834,3000,last_known_tvt
eb934281,3.9925354576088967,3.2879231770833335,3000,last_known_tvt
ebe69318,5.905588880268276,4.7866806640625,3000,last_known_tvt
ef8e3ed0,14.424635515043239,12.78562890625,3000,last_known_tvt
f021b650,5.601018492693251,4.498379623452178,2342,last_known_tvt
f053a1b9,9.342321470339677,8.093841145833334,3000,last_known_tvt
f140c2fa,10.601430344884315,8.028815093334027,2404,last_known_tvt
f49fdea3,10.823160266111278,10.078048828125,3000,last_known_tvt
f4d12d23,16.682410767951755,15.2825498046875,3000,last_known_tvt
f5d8aab6,12.167729932797814,10.40113671875,3000,last_known_tvt
fa31da94,8.133514936020896,6.713491861979167,3000,last_known_tvt
fae0c593,11.175425646425245,9.734850911458333,3000,last_known_tvt
fbd68d27,16.913616767085838,14.440291341145834,3000,last_known_tvt
fc03f21f,12.826497565971108,10.699037434895834,3000,last_known_tvt
fd3b4faa,7.43101762038782,5.9329039713541665,3000,last_known_tvt
febb4411,13.188913024626554,11.37426953125,3000,last_known_tvt
fef8af96,37.202854294311365,28.73982084831305,2260,last_known_tvt
ff8bb73a,10.312278095115873,7.777116536458333,3000,last_known_tvt
00e12e8b,82.56069086624778,65.85204296875,3000,linear_primary
02e7fe5a,76.99177084557319,64.21851399739583,3000,linear_primary
044af7d1,64.23997700559578,40.370324869791666,3000,linear_primary
09441b8d,28.443334189085675,22.2792744140625,3000,linear_primary
0d99f8e4,35.37367099119356,31.636958984375,3000,linear_primary
0dc5e64d,16.264266825487752,12.691291015625,3000,linear_primary
0dd99dc5,104.49173551581265,88.92838346354166,3000,linear_primary
113011eb,38.55789727300318,28.219228190104168,3000,linear_primary
13ce113d,6.172975664950477,5.262242049581648,2719,linear_primary
14fee784,55.9051137649305,40.374693033854165,3000,linear_primary
153552f5,40.96078193225915,35.699207356770835,3000,linear_primary
1770d7c6,44.036326899528056,32.37752346746426,2868,linear_primary
18d24f7b,8.170805741366793,6.7771435546875,3000,linear_primary
19137a89,68.76031917535484,55.80560416666667,3000,linear_primary
1944513c,46.66563169328391,41.74483951822916,3000,linear_primary
1a518997,27.203421044430492,18.403336588541666,3000,linear_primary
1b08ed48,23.47558517499936,20.109796875,3000,linear_primary
1b1c5372,39.63382974133219,28.510813914758337,2369,linear_primary
1b1eba53,37.9761178360263,29.944092122395833,3000,linear_primary
1b6ba517,50.53915756347949,43.27944596354167,3000,linear_primary
1bcb2fcf,59.20393913111846,40.295850260416664,3000,linear_primary
1d78281a,48.00010953493336,37.794899739583336,3000,linear_primary
1e5e3573,84.17426006279504,65.48883235677083,3000,linear_primary
206b6193,28.73940700597388,24.0893623046875,3000,linear_primary
2364716c,19.35499078161253,14.964139973958334,3000,linear_primary
