well_id,model,rmse,mae,n_rows
84633df4,Linear Regression,17.33259853701565,14.08111410619753,6719
8478df29,Linear Regression,23.692563492079508,21.63471701086027,6698
84815d5a,Linear Regression,82.20938170370752,80.8541538320082,5286
84c3b497,Linear Regression,80.29295961101072,79.78846673324071,6887
85380836,Linear Regression,17.932294410628245,14.145980949933563,8175
8612b37f,Linear Regression,130.30543263144716,129.73366088679305,6807
861e71df,Linear Regression,111.38917532456402,111.04497764900202,6284
86454a6f,Linear Regression,92.62198433242772,90.0382075460016,9100
8648abae,Linear Regression,55.032287007772226,54.191113373958125,6086
865033f8,Linear Regression,54.10815833387632,53.31385160538305,5303
87695469,Linear Regression,211.33521454656875,210.62125862469236,8654
877ed19c,Linear Regression,317.96947384639265,317.32962940289747,5631
87aa3730,Linear Regression,26.662180451701044,23.81976726231944,7293
884ecb5f,Linear Regression,10.540679091008025,6.244517240516996,8054
8902c3f6,Linear Regression,116.86309297129381,116.2101686276046,6533
896d15b9,Linear Regression,127.55640467351884,109.98526241674162,5698
8995c945,Linear Regression,56.2445156567451,48.92951636677921,8198
89969c7a,Linear Regression,81.26601385610711,80.83601468468639,6317
89f1085d,Linear Regression,100.48720872897812,93.03728176962896,7497
89f36adf,Linear Regression,152.89859594063734,150.57611265932866,7041
89fdb2f2,Linear Regression,39.54185950366042,36.817977636721004,3570
8a3da6d1,Linear Regression,192.50768581339787,192.19113070924965,6334
8a89da23,Linear Regression,7.808989540339127,6.1596014250837685,5575
8a9c8932,Linear Regression,29.26111767161164,28.822146684441623,6344
8ac2f237,Linear Regression,152.42637004697087,151.4299329310967,6775
8b12bab6,Linear Regression,159.93075491942804,159.7164840469922,6980
8b5be31b,Linear Regression,75.20346614460486,74.4082663148563,7439
8b95d6d1,Linear Regression,129.22988938575858,128.5948763683463,2783
8b9d8326,Linear Regression,65.74203003661549,63.58760544187879,7832
8bb9c1e6,Linear Regression,8.948641172498268,7.973506922263552,6382
8bda1a11,Linear Regression,45.521196815479854,44.79616307765242,7438
8bfa881d,Linear Regression,88.45347115758408,87.94422385087654,5843
8c167025,Linear Regression,114.98003059633959,113.63845422572683,7113
8c8348e8,Linear Regression,103.64153451777253,97.20634551804291,5581
8cc21f01,Linear Regression,131.4171882541532,131.02824660454192,5806
8cc800b3,Linear Regression,99.00034072406164,94.07012170805062,8091
8d5d46d7,Linear Regression,46.62268433623593,46.20566619694245,7282
8d92cb49,Linear Regression,190.1118746776545,190.03680675019365,4839
8f201368,Linear Regression,20.89674632139321,18.53760059923789,8151
90386ee4,Linear Regression,60.38417077059824,59.9126654177611,5304
91abc4c7,Linear Regression,135.88315984258583,135.2509301844105,7787
91b301ce,Linear Regression,76.1268874758531,73.20129755560086,8512
91db7070,Linear Regression,104.26055146229426,102.4280071165838,5646
925a7cd1,Linear Regression,111.97036999838706,111.17369823235907,6501
9283ae69,Linear Regression,154.63107229360062,154.31066154482247,5118
9298ad5b,Linear Regression,27.196850775250283,26.0264177759639,5807
9314ff13,Linear Regression,200.83816119008364,199.56389328479295,4494
93209a3d,Linear Regression,76.91724330196213,72.95266459810603,6300
939d9c34,Linear Regression,364.53200262637654,364.26576500918486,6627
93f5d2e6,Linear Regression,49.62537936667499,48.31545545229361,5171
940a48d9,Linear Regression,63.99560946187099,62.50775825280011,5627
940e709a,Linear Regression,139.47279798875647,139.0193364219268,4989
9426ec1e,Linear Regression,17.464702181971756,12.48714788303371,3923
94467f50,Linear Regression,11.275519626915534,9.552955605312711,5116
944f36b9,Linear Regression,97.36265248704841,96.80870539340887,6035
